city,taluka,area
Pune,Pune Central,Bavdhan Layout
Mumbai,Mumbai Rural,Newchowk South
Nagpur,Nagpur South,Krishnamandi North
Nashik,Nashik Rural,Prakashgalli North
Aurangabad,Aurangabad South,Dhayari Society
Kolhapur,Kolhapur Urban,Colaba Road
Solapur,Solapur Urban,Oldgaon Residential
Sangli,Sangli West,Worli Colony
Satara,Satara Central,Vasantpur Extension
Jalgaon,Jalgaon Taluka-3,Greenpura East 9
Amravati,Amravati East,FC Road 14
Pimpri-Chinchwad,Pimpri-Chinchwad Taluka-2,Gayatrivihar Phase-2
Thane,Thane Urban,Akurdi Colony
Navi Mumbai,Navi Mumbai East,Byculla Colony
Akola,Akola Central,Gayatrimandi Extension
Wardha,Wardha Taluka-2,Rajmarket Central
Beed,Beed Central,Koregaon Park Market
Latur,Latur East,Shreemandi Phase-2
Nanded,Nanded Central,Rajpur South
Parbhani,Parbhani West,Gayatribagh Residential
Raigad,Raigad Taluka-3,Colaba Market
Ratnagiri,Ratnagiri Central,Dadar Nagar 8
Sindhudurg,Sindhudurg West,Kharadi Market 8
Palghar,Palghar Taluka-1,Vasantpeth Residential
Buldhana,Buldhana North,Gandhibagh Industrial
Nandurbar,Nandurbar Taluka-2,Vasantlayout West
Dhule,Dhule Rural,Ghatkopar Bazar 8
Jalna,Jalna South,Byculla Bazar
Osmanabad,Osmanabad Rural,Rajamandi Phase-1
Hingoli,Hingoli East,Viman Nagar Bazar
Washim,Washim Urban,Vijaygalli Phase-1
Yavatmal,Yavatmal South,Aundh Layout
Bhandara,Bhandara North,Wanowrie Road
Gondia,Gondia Taluka-1,Kalyani Nagar Colony 14
Gadchiroli,Gadchiroli East,Manjari
Chandrapur,Chandrapur Central,Khar
Bid,Bid Taluka-2,Katraj Layout
Miraj,Miraj Central,Chembur Colony
Ichalkaranji,Ichalkaranji North,Balewadi Society
Pandharpur,Pandharpur North,Udaywadi Residential
Pune,Pune Urban,Lakemandi East 14
Mumbai,Mumbai Urban,Shreenagar Central
Nagpur,Nagpur West,Dhayari Society
Nashik,Nashik Urban,Pimpri Bazar 18
Aurangabad,Aurangabad South,Netajigaon West
Kolhapur,Kolhapur Rural,Oldgaon East
Solapur,Solapur Rural,Worli Road
Sangli,Sangli West,FC Road Nagar
Satara,Satara East,Shreepur West
Jalgaon,Jalgaon Urban,Bhosari Society
Amravati,Amravati East,Ghatkopar Colony 10
Pimpri-Chinchwad,Pimpri-Chinchwad South,Lakegalli East
Thane,Thane Taluka-3,Rammarket Extension 14
Navi Mumbai,Navi Mumbai Taluka-1,Nigdi Bazar
Akola,Akola Urban,Undri Layout
